Component ID: STM32F405RGT6
Component Type: 32-bit ARM Cortex-M4 Microcontroller
Description: The STM32F405RGT6 is a high-performance microcontroller based on the ARM Cortex-M4 32-bit RISC core operating at a frequency of up to 168 MHz. The Cortex-M4 core features a Floating Point Unit (FPU) which supports all ARM single-precision data-processing instructions and data types. It also implements a full set of DSP instructions and a memory protection unit (MPU) to enhance application security. The device incorporates high-speed embedded memories (up to 1 MB of Flash memory, 192 KB of SRAM) and an extensive range of enhanced I/Os and peripherals, including three 12-bit ADCs, two DACs, a low-power RTC, twelve general-purpose 16-bit timers, and multiple communication interfaces such as I2C, SPI, UART, CAN, and USB OTG.

Key Parameters:
- Core: ARM 32-bit Cortex-M4 CPU with FPU
- Max CPU Frequency: 168 MHz
- Flash Memory: 1 MB
- SRAM: 192 KB
- Operating Voltage: 1.8V to 3.6V
- ADC: 3 x 12-bit (16 channels)
- DAC: 2 x 12-bit
- Timers: 12 x 16-bit, 2 x 32-bit
- Communication: 3 x I2C, 3 x SPI, 2 x CAN, 6 x UART, USB OTG FS/HS, SDIO
- Package: LQFP-64

Pinout Table:
| Pin Number | Pin Name | Function | Description | Pin Type | Electrical Type |
| 32 | VDD | Power | Secondary digital power supply | Power | 3.3V |
| 33 | PB12 | Port B 12 | SPI2_NSS / I2C1_SMBA / GPIO | I/O | Signal |
| 34 | PB13 | Port B 13 | SPI2_SCK / GPIO | I/O | Signal |
| 35 | PB14 | Port B 14 | SPI2_MISO / GPIO | I/O | Signal |
| 36 | PB15 | Port B 15 | SPI2_MOSI / GPIO | I/O | Signal |
| 37 | PC6 | Port C 6 | USART6_TX / SDIO_D6 / GPIO | I/O | Signal |
| 38 | PC7 | Port C 7 | USART6_RX / SDIO_D7 / GPIO | I/O | Signal |
| 39 | PC8 | Port C 8 | SDIO_D0 / GPIO | I/O | Signal |
| 40 | PC9 | Port C 9 | SDIO_D1 / I2C3_SDA / GPIO | I/O | Signal |
| 41 | PA8 | Port A 8 | MCO1 / USART1_CK / GPIO | I/O | Signal |
| 42 | PA9 | Port A 9 | USART1_TX / VBUS / GPIO | I/O | Signal |
| 43 | PA10 | Port A 10 | USART1_RX / OTG_FS_ID / GPIO | I/O | Signal |
| 44 | PA11 | Port A 11 | OTG_FS_DM / CAN1_RX / GPIO | I/O | Signal |
| 45 | PA12 | Port A 12 | OTG_FS_DP / CAN1_TX / GPIO | I/O | Signal |
| 46 | PA13 | Port A 13 | JTMS-SWDIO / GPIO | I/O | Signal |
| 47 | VCAP_2 | Core Volt | Main regulator filter capacitor 2 | Power | Analog |
| 48 | VDD | Power | Tertiary digital power supply | Power | 3.3V |
| 49 | PA14 | Port A 14 | JTCK-SWCLK / GPIO | I/O | Signal |
| 50 | PA15 | Port A 15 | JTDI / GPIO | I/O | Signal |
| 51 | PC10 | Port C 10 | UART4_TX / SDIO_D2 / GPIO | I/O | Signal |
| 52 | PC11 | Port C 11 | UART4_RX / SDIO_D3 / GPIO | I/O | Signal |
| 53 | PC12 | Port C 12 | UART5_TX / SDIO_CK / GPIO | I/O | Signal |
| 54 | PD2 | Port D 2 | SDIO_CMD / UART5_RX / GPIO | I/O | Signal |
| 55 | PB3 | Port B 3 | JTDO / TRACESWO / GPIO | I/O | Signal |
| 56 | PB4 | Port B 4 | NJTRST / GPIO | I/O | Signal |
| 57 | PB5 | Port B 5 | I2C1_SMBA / CAN2_RX / GPIO | I/O | Signal |
| 58 | PB6 | Port B 6 | I2C1_SCL / CAN2_TX / GPIO | I/O | Signal |
| 59 | PB7 | Port B 7 | I2C1_SDA / GPIO | I/O | Signal |
| 60 | BOOT0 | Boot Mode | Boot mode selection input | Input | 3.3V |
| 61 | PB8 | Port B 8 | CAN1_RX / I2C1_SCL / GPIO | I/O | Signal |
| 62 | PB9 | Port B 9 | CAN1_TX / I2C1_SDA / GPIO | I/O | Signal |
| 64 | VDD | Power | Quaternary digital power supply | Power | 3.3V |
